index,name_recall,name_precision,type_accuracy,value_recall,value_precision,name_info,type_info,value_info
7,0.3333333333333333,0.5,0.0,1.0,1.0,"[('灌浆料', '灌浆料性能'), ('新增面层裂缝', '裂缝产生')]","{'灌浆料': 0, '新增面层裂缝': 0}","{'新增面层裂缝': {'content': [('新增面层裂缝:不产生', '新增面层裂缝:减少早期裂缝产生'), ('新增面层裂缝:产生', '新增面层裂缝:容易产生裂缝')], 'recall': 1.0, 'precision': 1.0}}"
8,0.6,0.75,0.6666666666666666,1.0,1.0,"[('建筑主体结构', '建筑主体结构损坏情况'), ('非结构构件', '非结构构件损坏情况'), ('建筑的正常使用功能', '建筑功能要求满足情况')]","{'建筑主体结构': 1, '非结构构件': 1, '建筑的正常使用功能': 0}","{'建筑的正常使用功能': {'content': [('建筑的正常使用功能:保证', '建筑的正常使用功能:保证正常使用功能'), ('建筑的正常使用功能:不保证', '建筑的正常使用功能:功能受损')], 'recall': 1.0, 'precision': 1.0}}"
2,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,"[('初始局部破坏', '局部破坏'), ('结构', '结构倒塌')]","{'初始局部破坏': 1, '结构': 0}","{'结构': {'content': [('结构:完好', '结构:未倒塌'), ('结构:部分倒塌', '结构:部分倒塌'), ('结构:整体倒塌', '结构:整体倒塌')], 'recall': 1.0, 'precision': 1.0}}"
0,1.0,0.6,0.3333333333333333,1.0,1.0,"[('构件的长细比', '长细比'), ('矩形截面边长', '矩形截面边长'), ('纤维材料对混凝土的约束作用', '纤维材料对混凝土的约束作用')]","{'构件的长细比': 0, '矩形截面边长': 1, '纤维材料对混凝土的约束作用': 0}","{'纤维材料对混凝土的约束作用': {'content': [('纤维材料对混凝土的约束作用:明显降低', '纤维材料对混凝土的约束作用:明显降低'), ('纤维材料对混凝土的约束作用:保持正常', '纤维材料对混凝土的约束作用:保持稳定')], 'recall': 1.0, 'precision': 1.0}}"
3,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,"[('地基稳定性', '地基稳定性'), ('承载能力极限状态', '承载能力极限状态'), ('预防措施建议', '预防措施')]","{'地基稳定性': 0, '承载能力极限状态': 1, '预防措施建议': 1}","{'预防措施建议': {'content': [('预防措施建议:提供', '预防措施建议:提供预防措施建议')], 'recall': 0.5, 'precision': 0.3333333333333333}}"
12,0.6,1.0,0.3333333333333333,1.0,1.0,"[('露明金属支撑件', '金属支撑件失效'), ('外墙板掉落', '外墙板掉落'), ('火灾蔓延', '火灾蔓延')]","{'露明金属支撑件': 1, '外墙板掉落': 0, '火灾蔓延': 0}","{'火灾蔓延': {'content': [('火灾蔓延:蔓延', '火灾蔓延:蔓延'), ('火灾蔓延:不蔓延', '火灾蔓延:不蔓延')], 'recall': 1.0, 'precision': 1.0}}"
9,0.75,0.75,0.6666666666666666,1.0,1.0,"[('框架结构的砌体填充墙布置', '砌体填充墙的布置'), ('建筑的不利布置', '建筑的不利布置'), ('主体结构', '主体结构的破坏')]","{'框架结构的砌体填充墙布置': 1, '建筑的不利布置': 1, '主体结构': 0}","{'主体结构': {'content': [('主体结构:破坏', '主体结构:发生'), ('主体结构:不破坏', '主体结构:未发生')], 'recall': 1.0, 'precision': 1.0}}"
6,1.0,0.4,0.0,0.5,0.5,"[('基础埋深', '基础埋深'), ('桩顶荷载', '桩顶增加的荷载')]","{'基础埋深': 0, '桩顶荷载': 0}","{'桩顶荷载': {'content': [('桩顶荷载:增加', '桩顶荷载:增加')], 'recall': 0.5, 'precision': 0.5}}"
4,0.75,1.0,0.6666666666666666,1.0,1.0,"[('齿连接', '齿连接超载破坏'), ('螺栓连接', '采用齿连接与螺栓连接共同受力'), ('受力', '采用齿连接与螺栓连接共同受力')]","{'齿连接': 0, '螺栓连接': 1, '受力': 1}","{'受力': {'content': ['受力:共同受力', '受力:分别受力'], 'recall': 1.0, 'precision': 1.0}}"
14,0.8,0.6666666666666666,0.75,0.5,0.5,"[('零应力区面积', '基础底部的零应力区面积'), ('外荷载相对于基础形心的偏心距', '外荷载相对于基础形心的偏心距'), ('受压边缘的压力', '受压边缘的压力是否满足承载力要求'), ('井架斜撑与基础的连接', '井架斜撑与基础的连接方式')]","{'零应力区面积': 1, '外荷载相对于基础形心的偏心距': 1, '受压边缘的压力': 1, '井架斜撑与基础的连接': 0}","{'井架斜撑与基础的连接': {'content': [('井架斜撑与基础的连接:铰接连接', '井架斜撑与基础的连接:铰接连接')], 'recall': 0.5, 'precision': 0.5}}"
13,0.8333333333333334,1.0,0.4,0.6666666666666666,0.6666666666666666,"[('核芯区受剪面积', '核芯区受剪面积'), ('抗震墙中线与柱中线之间偏心距', '抗震墙中线与柱中线的相对位置'), ('梁中线与柱中线之间偏心距', '偏心距'), ('柱的不利扭转效应', '柱的扭转效应'), ('避免扭转措施', '采取的措施')]","{'核芯区受剪面积': 1, '抗震墙中线与柱中线之间偏心距': 0, '梁中线与柱中线之间偏心距': 0, '柱的不利扭转效应': 0, '避免扭转措施': 1}","{'避免扭转措施': {'content': [('避免扭转措施:采用水平加腋梁', '避免扭转措施:水平加腋梁'), ('避免扭转措施:加强柱的箍筋', '避免扭转措施:加强柱的箍筋')], 'recall': 0.6666666666666666, 'precision': 0.6666666666666666}}"
20,1.0,1.0,0.0,0.0,0.0,"['检查基准', '检查结果']",{},{}
10,0.8571428571428571,0.8571428571428571,0.4,1.0,1.0,"[('雨水泵房状况', '雨水泵房功能'), ('城市排涝泵站状况', '排涝泵站功能'), ('雨水泵房加强措施', '泵房加强'), ('城市排涝泵站加强措施', '泵房加强'), ('震害', '地震破坏'), ('震害', '震害加剧')]","{'雨水泵房状况': 0, '城市排涝泵站状况': 0, '雨水泵房加强措施': 1, '城市排涝泵站加强措施': 1, '震害': 0}","{'震害': {'content': [('震害:小', '震害:不加剧'), ('震害:大', '震害:加剧')], 'recall': 1.0, 'precision': 1.0}}"
1,0.7142857142857143,0.7142857142857143,0.6,1.0,1.0,"[('土体膨胀', '土体膨胀'), ('土体收缩', '土体收缩'), ('桩侧阻', '桩侧阻'), ('端阻', '端阻'), ('土体裂缝', '土体裂缝')]","{'土体膨胀': 1, '土体收缩': 1, '桩侧阻': 0, '端阻': 0, '土体裂缝': 1}","{'土体裂缝': {'content': [('土体裂缝:产生', '土体裂缝:产生'), ('土体裂缝:不产生', '土体裂缝:未产生')], 'recall': 1.0, 'precision': 1.0}}"
11,0.625,0.7142857142857143,1.0,1.0,1.0,"[('厂房整体抗震性能', '厂房的整体抗震性能'), ('柱列纵向侧移刚度', '柱列的纵向侧移刚度差别'), ('厂房纵向破坏', '厂房纵向破坏情况'), ('柱顶节点抗震性能', '柱顶节点的抗震性能'), ('门窗洞口处柱子的破坏', '门窗洞口处柱子的破坏')]","{'厂房整体抗震性能': 1, '柱列纵向侧移刚度': 1, '厂房纵向破坏': 1, '柱顶节点抗震性能': 1, '门窗洞口处柱子的破坏': 1}","{'门窗洞口处柱子的破坏': {'content': [('门窗洞口处柱子的破坏:发生', '门窗洞口处柱子的破坏:破坏'), ('门窗洞口处柱子的破坏:未发生', '门窗洞口处柱子的破坏:未破坏')], 'recall': 1.0, 'precision': 1.0}}"
5,0.7142857142857143,0.5,1.0,1.0,1.0,"[('新建建筑物的荷载', '新建建筑物的荷载'), ('既有建筑物紧邻新建部分的地基中的应力叠加', '既有建筑物紧邻新建部分的地基中的应力叠加'), ('既有建筑物地基土的不均匀附加压缩', '既有建筑物地基土的不均匀附加压缩'), ('建筑物的相对变形或挠曲', '建筑物的相对变形或挠曲'), ('严重裂损', '严重裂损')]","{'新建建筑物的荷载': 1, '既有建筑物紧邻新建部分的地基中的应力叠加': 1, '既有建筑物地基土的不均匀附加压缩': 1, '建筑物的相对变形或挠曲': 1, '严重裂损': 1}","{'严重裂损': {'content': [('严重裂损:存在', '严重裂损:是'), ('严重裂损:不存在', '严重裂损:否')], 'recall': 1.0, 'precision': 1.0}}"
15,1.0,1.0,0.6,0.6666666666666666,1.0,"[('地下车站结构', '地下车站结构形式'), ('结构形式', '地下车站结构形式'), ('薄弱部位', '地下车站结构薄弱部位'), ('地震作用', '地震作用下的分析类型'), ('地震作用', '地震作用等级'), ('地下车站结构破坏程度', '地震破坏程度')]","{'地下车站结构': 0, '结构形式': 1, '薄弱部位': 1, '地震作用': 1, '地下车站结构破坏程度': 0}","{'地下车站结构破坏程度': {'content': [('地下车站结构破坏程度:轻微', '地下车站结构破坏程度:轻微'), ('地下车站结构破坏程度:严重', '地下车站结构破坏程度:严重')], 'recall': 0.6666666666666666, 'precision': 1.0}}"
17,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,"[('地面变形', '地面下沉'), ('建筑物破坏', '建筑物破坏'), ('岩土工程勘察', '施工方法')]","{'地面变形': 1, '建筑物破坏': 0, '岩土工程勘察': 1}","{'岩土工程勘察': {'content': [('岩土工程勘察:提出合理措施', '岩土工程勘察:传统方法'), ('岩土工程勘察:措施不合理', '岩土工程勘察:创新方法')], 'recall': 1.0, 'precision': 1.0}}"
16,1.0,1.0,1.0,1.0,1.0,"[('抗浮技术措施', '抗浮技术措施'), ('空心楼板内模上移', '内模上移'), ('施工质量', '施工质量')]","{'抗浮技术措施': 1, '空心楼板内模上移': 1, '施工质量': 1}","{'施工质量': {'content': [('施工质量:受影响', '施工质量:严重受影响'), ('施工质量:不受影响', '施工质量:未受影响')], 'recall': 1.0, 'precision': 1.0}}"
